occlusion_level,track_length,num_gaps,mean_area
无遮挡 (None),164.83783783783784,0.0,1293.2554724324323
轻度 (Low),206.18045112781954,0.0,1734.7458010025061
中度 (Medium),250.70449172576832,0.0,2305.0799592592593
重度 (High),337.0517358339984,0.0,8945.123374555067
