,sequence,num_tracks,avg_length,max_length,num_fragments,avg_speed,avg_acceleration
count,21.0,21.0,21.0,21.0,21.0,21.0,21.0
mean,10.0,11.952380952380953,180.11720088190677,309.1904761904762,23.273884693737635,86.78813089155722,0.6633583157616547
std,6.2048368229954285,4.914022695065525,114.54733915506928,194.52059506582307,19.468821206725423,34.74761432557224,0.6823147031096766
min,0.0,4.0,50.71428571428572,76.0,4.0,12.178000318380354,-0.8862800637798314
25%,5.0,8.0,96.25,187.0,11.166666666666666,64.72348533915236,0.1530744113540875
50%,10.0,12.0,164.78571428571428,259.0,19.285714285714285,86.16252644245347,0.5743734856303994
75%,15.0,14.0,218.8823529411765,357.0,28.285714285714285,101.53383789550216,1.1620632034620464
max,20.0,24.0,491.1904761904762,803.0,89.23809523809524,156.32919036243982,1.9668738085121944
