sequence,num_tracks,avg_length,max_length,num_fragments,avg_speed,avg_acceleration
0000,16,81.5,148,6.0625,101.53383789550216,1.4346729189324705
0001,17,218.88235294117646,355,29.941176470588236,121.95129411028476,0.023859108821136753
0002,12,92.16666666666667,187,11.166666666666666,86.16252644245347,-0.8862800637798314
0003,4,96.25,115,13.5,63.51876418687776,0.5743734856303994
0004,7,158.0,230,27.857142857142858,124.69739109011313,1.3916649835442056
0005,9,160.66666666666666,295,24.88888888888889,83.15967761855329,0.30207035353835354
0006,11,175.8181818181818,221,20.636363636363637,64.72348533915236,1.1620632034620464
0007,12,240.75,518,30.916666666666668,72.42578392806807,0.9627745701769194
0008,7,224.57142857142858,313,30.285714285714285,90.45767851778467,1.1678181443175777
0009,24,165.91666666666666,616,17.083333333333332,99.73013060807669,0.9608248087479284
0010,8,78.75,287,9.0,53.407083686009656,0.5296300730452155
0011,13,224.53846153846155,357,24.46153846153846,90.58487416685836,1.0778044966863265
0012,7,50.714285714285715,76,4.0,12.178000318380354,0.8984556734570778
0013,14,154.35714285714286,239,28.285714285714285,156.32919036243982,0.15307441135408753
0014,9,67.55555555555556,101,5.444444444444445,87.69092081656184,0.3223398201553624
0015,14,164.78571428571428,371,12.214285714285714,50.421303028449024,-0.05503335312147564
0016,15,165.33333333333334,193,17.066666666666666,134.0493863680315,1.556766851676229
0017,12,101.0,143,9.666666666666666,75.80897582104647,1.9668738085121942
0018,7,200.71428571428572,259,19.285714285714285,40.73168097709986,-0.005955507821847784
0019,21,491.1904761904762,666,89.23809523809524,135.82944980896235,0.3313291823787061
0020,12,469.0,803,57.75,77.15931363199597,0.06139766128166286
